传送 1/12 (24,0) frame=4748
传送 1/12 (30,0) frame=4773
传送 1/12 (0,0) frame=4798
传送 1/12 (-40,0) frame=4820
传送 1/12 (70,0) frame=4846
传送 1/12 (-90,0) frame=4872
传送 2/12 (24,0) frame=4900
传送 2/12 (30,0) frame=4927
传送 2/12 (0,0) frame=4955
传送 2/12 (-40,0) frame=4979
传送 2/12 (70,0) frame=5005
传送 2/12 (-90,0) frame=5035
传送 3/12 (24,0) frame=5065
传送 3/12 (30,0) frame=5093
传送 3/12 (0,0) frame=5123
传送 3/12 (-40,0) frame=5148
传送 3/12 (70,0) frame=5175
传送 3/12 (-90,0) frame=5205
传送 4/12 (24,0) frame=5235
传送 4/12 (30,0) frame=5264
传送 4/12 (0,0) frame=5295
传送 4/12 (-40,0) frame=5321
传送 4/12 (70,0) frame=5350
传送 4/12 (-90,0) frame=5381
传送 5/12 (24,0) frame=5411
传送 5/12 (30,0) frame=5435
传送 5/12 (0,0) frame=5462
传送 5/12 (-40,0) frame=5485
传送 5/12 (70,0) frame=5510
传送 5/12 (-90,0) frame=5537
传送 6/12 (24,0) frame=5565
传送 6/12 (30,0) frame=5593
传送 6/12 (0,0) frame=5621
传送 6/12 (-40,0) frame=5645
传送 6/12 (70,0) frame=5675
传送 6/12 (-90,0) frame=5705
传送 7/12 (24,0) frame=5735
传送 7/12 (30,0) frame=5763
传送 7/12 (0,0) frame=5784
失败：帧未前进
