传送 1/12 (24,0) frame=100
传送 1/12 (30,0) frame=108
传送 1/12 (0,0) frame=114
传送 1/12 (-40,0) frame=120
传送 1/12 (70,0) frame=127
传送 1/12 (-90,0) frame=134
传送 2/12 (24,0) frame=142
传送 2/12 (30,0) frame=150
传送 2/12 (0,0) frame=158
传送 2/12 (-40,0) frame=166
传送 2/12 (70,0) frame=174
传送 2/12 (-90,0) frame=183
传送 3/12 (24,0) frame=190
传送 3/12 (30,0) frame=199
传送 3/12 (0,0) frame=206
传送 3/12 (-40,0) frame=216
传送 3/12 (70,0) frame=225
传送 3/12 (-90,0) frame=236
传送 4/12 (24,0) frame=247
传送 4/12 (30,0) frame=258
传送 4/12 (0,0) frame=269
传送 4/12 (-40,0) frame=278
传送 4/12 (70,0) frame=288
传送 4/12 (-90,0) frame=300
传送 5/12 (24,0) frame=312
传送 5/12 (30,0) frame=320
传送 5/12 (0,0) frame=326
传送 5/12 (-40,0) frame=332
传送 5/12 (70,0) frame=340
传送 5/12 (-90,0) frame=346
传送 6/12 (24,0) frame=353
传送 6/12 (30,0) frame=360
传送 6/12 (0,0) frame=368
传送 6/12 (-40,0) frame=375
传送 6/12 (70,0) frame=383
传送 6/12 (-90,0) frame=390
传送 7/12 (24,0) frame=400
传送 7/12 (30,0) frame=409
传送 7/12 (0,0) frame=420
传送 7/12 (-40,0) frame=429
传送 7/12 (70,0) frame=436
传送 7/12 (-90,0) frame=444
传送 8/12 (24,0) frame=454
传送 8/12 (30,0) frame=463
传送 8/12 (0,0) frame=471
传送 8/12 (-40,0) frame=481
传送 8/12 (70,0) frame=491
传送 8/12 (-90,0) frame=501
传送 9/12 (24,0) frame=511
传送 9/12 (30,0) frame=518
传送 9/12 (0,0) frame=525
传送 9/12 (-40,0) frame=530
传送 9/12 (70,0) frame=536
传送 9/12 (-90,0) frame=543
传送 10/12 (24,0) frame=549
传送 10/12 (30,0) frame=556
传送 10/12 (0,0) frame=564
传送 10/12 (-40,0) frame=571
传送 10/12 (70,0) frame=579
传送 10/12 (-90,0) frame=586
传送 11/12 (24,0) frame=595
传送 11/12 (30,0) frame=603
传送 11/12 (0,0) frame=610
传送 11/12 (-40,0) frame=619
传送 11/12 (70,0) frame=630
传送 11/12 (-90,0) frame=639
传送 12/12 (24,0) frame=647
传送 12/12 (30,0) frame=656
传送 12/12 (0,0) frame=666
传送 12/12 (-40,0) frame=675
传送 12/12 (70,0) frame=684
传送 12/12 (-90,0) frame=693
通过：72 次远距离传送，最终音频={"ok":true,"outputLeft":0.02043812721967697,"outputRight":0.025506118312478065,"activeVoices":4,"engineTimeMs":56215}
